Jahr;Dokument;Datum;Linke;CDU/CSU;Dokumentnr;Titel
2011;BT-Plenarprotokoll 17/120, S. 14058C-14064A;07.07.2011;Sabine Stüber;Ingbert Liebing;17/120;Schutz der Meere vor Vermüllung und anderen Verschmutzungen
2011;BT-Plenarprotokoll 17/117, S. 13364C-13409B;30.06.2011;Dr. Gregor Gysi;Dr. Georg Nüßlein;17/117;Erneuerbare Energien ausbauen statt Atomkraft verlängern
2011;BT-Plenarprotokoll 17/108, S. 12384B-12390C;12.05.2011;Eva Bulling-Schröter;Josef Göppel;17/108;Vor Cancún - Mit Glaubwürdigkeit zu einem globalen Klimaschutzabkommen
2011;BT-Plenarprotokoll 17/137, S. 16303A-16323D;28.10.2011;Ralph Lenkert;Michael Brand (Fulda);17/137;Gesetz zur Neuordnung des Kreislaufwirtschafts- und Abfallrechts
2012;BT-Plenarprotokoll 17/166, S. 19723A-19746D;09.03.2012;Dr. Gregor Gysi,;Thomas Bareiß;17/166;Gesetz zur Änderung des Rechtsrahmens für Strom aus solarer Strahlungsenergie und zu weiteren Änderungen im Recht der erneuerbaren Energien
2012;BT-Plenarprotokoll 17/181, S. 21518D-21528B;24.05.2012;Eva Bulling-Schröter;Franz Obermeier;17/181;Gesetz zur Änderung des Kraft-Wärme-Kopplungsgesetzes
2012;BT-Plenarprotokoll 17/195, S. 23336A-23357C;27.09.2012;Halina Wawzyniak;Dirk Fischer (Hamburg);17/195;Gesetz über die energetische Modernisierung von vermietetem Wohnraum und über die vereinfachte Durchsetzung von Räumungstiteln (Mietrechtsänderungsgesetz - MietRÄndG)
2012;BT-Plenarprotokoll 17/204, S. 24825D-24826B;08.11.2012;Eva Bulling-Schröter;Norbert Schindler;17/204;Gesetz zur Änderung des Energiesteuer- und des Stromsteuergesetzes sowie zur Änderung des Luftverkehrsteuergesetzes
2012;BT-Plenarprotokoll 17/198, S. 24018B-24023C;18.10.2012;Ralph Lenkert;Dr. Michael Paul;17/198;Verordnung zur Umsetzung der Richtlinie über Industrieemissionen, zur Änderung der Verordnung zur Begrenzung der Emissionen flüchtiger organischer Verbindungen beim Umfüllen oder Lagern von Ottokraftstoffen, Kraftstoffgemischen oder Rohbenzin sowie zur Änderung der Verordnung zur Begrenzung der Kohlenwasserstoffemissionen bei der Betankung von Kraftfahrzeugen
2013;BT-Plenarprotokoll 17/217, S. 26944C-26950A;17.01.2013;Eva Bulling-Schröter;"Jens Koeppen
 Dr. Michael Paul";17/217;... Gesetz zur Änderung des Bundes-Immissionsschutzgesetzes
2013;BT-Plenarprotokoll 17/217, S. 26944C-26950A;17.01.2013;Eva Bulling-Schröter;Jens Koeppen;17/217;Kohleausstiegsgesetz nach Scheitern des EU-Emissionshandels
2013;BT-Plenarprotokoll 17/240, S. 30312D-30313A;16.05.2013;Eva Bulling-Schröter;Volkmar Vogel (Kleinsaara);17/240;Viertes Gesetz zur Änderung des Energieeinsparungsgesetzes
2013;BT-Plenarprotokoll 17/246, S. 31285A-31311C;13.06.2013;Eva Bulling-Schröter;Daniela Ludwig;17/246;Gesetz zur Festlegung nationaler Klimaschutzziele und zur Förderung des Klimaschutzes (Klimaschutzgesetz)
2013;BT-Plenarprotokoll 17/248, S. 31787B-31811C;25.06.2013;Katja Kipping;Norbert Barthle;17/248;Bewältigung der Hochwasserkatastrophe - Rasche Soforthilfe und zügiger Wiederaufbau
2014;BT-Plenarprotokoll 18/23, S. 1872C-1872D;20.03.2014;Ralph Lenkert;Dr. Anja Weisgerber;18/23;Sechste Verordnung zur Änderung der Verpackungsverordnung
2014;BT-Plenarprotokoll 18/44, S. 3931B-3952A;27.06.2014;Eva Bulling-Schröter;Dr. Joachim Pfeiffer;18/44;Gesetz zur grundlegenden Reform des Erneuerbare-Energien-Gesetzes und zur Änderung weiterer Bestimmungen des Energiewirtschaftsrechts
2014;BT-Plenarprotokoll 18/39, S. 3356B-3370B;05.06.2014;Caren Lay;Hansjörg Durz;18/39;Gesetz zur Festlegung nationaler Klimaschutzziele und zur Förderung des Klimaschutzes (Klimaschutzgesetz - KlimaSchG)
2014;BT-Plenarprotokoll 18/44, S. 3983A-3988C;27.06.2014;Herbert Behrens;Michael Donth;18/44;Verordnung zur Änderung der Sechzehnten Verordnung zur Durchführung des Bundes-Immissionsschutzgesetzes (Verkehrslärmschutzverordnung - 16. BImSchV)
2014;BT-Plenarprotokoll 18/44, S. 3983A-3988C;27.06.2014;Herbert Behrens;Michael Donth;18/44;Verordnung zur Änderung der Sechzehnten Verordnung zur Durchführung des Bundes-Immissionsschutzgesetzes (Verkehrslärmschutzverordnung - 16. BImSchV)
2015;BT-Plenarprotokoll 18/85, S. 8069D-8077B;05.02.2015;Eva Bulling-Schröter;Hansjörg Durz;18/85;Gesetz zur Teilumsetzung der Energieeffizienzrichtlinie und zur Verschiebung des Außerkrafttretens des § 47g Absatz 2 des Gesetzes gegen Wettbewerbsbeschränkungen
2015;BT-Plenarprotokoll 18/103, S. 9780B-9803D;07.05.2015;Hubertus Zdebel;Karsten Möring;18/103;Gesetz zur Änderung wasser- und naturschutzrechtlicher Vorschriften zur Untersagung und zur Risikominimierung bei den Verfahren der Fracking-Technologie
2015;BT-Plenarprotokoll 18/115, S. 11139B-11146B;42,205;Ralph Lenkert;Dr. Anja Weisgerber;18/115;Gesetz zur Neuordnung des Rechts über das Inverkehrbringen, die Rücknahme und die umweltverträgliche Entsorgung von Elektro- und Elektronikgeräten
2015;BT-Plenarprotokoll 18/130, S. 12638C-12645D;15.10.2015;Birgit Menz;Dr. Klaus-Peter Schulze;18/130;Gesetz zur Umsetzung der Verpflichtungen nach dem Nagoya-Protokoll, zur Durchführung der Verordnung (EU) Nr. 511/2014 und zur Änderung des Patentgesetzes sowie zur Änderung des Umweltauditgesetzes
2015;BT-Plenarprotokoll 18/143, S. 14057D-14063A;03.12.2015;Eva Bulling-Schröter;Barbara Lanzinger;18/143;Gesetz zur Neuregelung des Kraft-Wärme-Kopplungsgesetzes
2016;BT-Plenarprotokoll 18/155, S. 15327B-15332D;18.02.2016;Ralph Lenkert;Ulrich Petzold;18/155;Gesetz zur Änderung des Wasserhaushaltsgesetzes zur Einführung von Grundsätzen für die Kosten von Wasserdienstleistungen und Wassernutzungen sowie zur Änderung des Abwasserabgabengesetzes
2016;BT-Plenarprotokoll 18/153, S. 15100B-15107D;29.01.2016;Eva Bulling-Schröter;Karl Holmeier;18/153;Gesetz zur Weiterentwicklung des Strommarktes (Strommarktgesetz)
2016;BT-Plenarprotokoll 18/164, S. 16073B-16087D;14.04.2016;Sabine Leidig;Ulrich Lange;18/164;Fünfzehntes Gesetz zur Änderung des Luftverkehrsgesetzes
2016;BT-Plenarprotokoll 18/179, S. 17592B-17613A;23.06.2016;Sabine Leidig;Günter Lach;18/179;Klimaschutzplan 2050 - Echter Klimaschutz beginnt heute
2016;BT-Plenarprotokoll 18/190, S. 18836C-18845A;22.09.2016;Eva Bulling-Schröter;Andreas Jung;18/190;Gesetz zu dem Übereinkommen von Paris vom 12. Dezember 2015
2018;BT-Plenarprotokoll 19/69, S. 8037A-8059B;30.11.2018;Lorenz Gösta Beutin;Dr. Andreas Lenz;19/69;Gesetz zur Änderung des Erneuerbare-Energien-Gesetzes, des Kraft-Wärme-Kopplungsgesetzes, des Energiewirtschaftsgesetzes und weiterer energierechtlicher Vorschriften
2018;BT-Plenarprotokoll 19/61, S. 6990A-6994D;08.11.2018;Lorenz Gösta Beutin;Dr. Anja Weisgerber;19/61;Gesetz zur Anpassung der Rechtsgrundlagen für die Fortentwicklung des Europäischen Emissionshandels
2018;BT-Plenarprotokoll 19/58, S. 6471C-6483A;18.10.2018;Jörg Cezanne;Björn Simon;19/58;Gesetz zur Änderung des Bundesfernstraßenmautgesetzes und zur Änderung weiterer straßenverkehrsrechtlicher Vorschriften
2018;BT-Plenarprotokoll 19/37, S. 3604C-3620C;08.06.2018;Ralph Lenkert;Carsten Müller (Braunschweig);19/37;Gesetz zur Änderung des Erneuerbare-Energien-Gesetzes - Erhöhung der Ausbaumengen für Windenergie an Land und Solarenergie
2018;BT-Plenarprotokoll 19/42, S. 4282A-4288C;28.06.2018;Hubertus Zdebel;Karsten Möring;19/42;Sechzehntes Gesetz zur Änderung des Atomgesetzes (16. AtGÄndG)
2019;BT-Plenarprotokoll 19/74, S. 8687B-8694C;17.01.2019;Ingrid Remmers;Karsten Möring;19/73;Dreizehntes Gesetz zur Änderung des Bundes-Immissionsschutzgesetzes
2019;BT-Plenarprotokoll 19/86, S. 10152A-10166B;14.03.2019;Andreas Wagner;Daniela Ludwig;19/86;Neuntes Gesetz zur Änderung des Straßenverkehrsgesetzes
2019;BT-Plenarprotokoll 19/92, S. 10985D-10994C;04.04.2019;Ralph Lenkert;Dr. Andreas Lenz;19/92;Gesetz zur Beschleunigung des Energieleitungsausbaus
2019;BT-Plenarprotokoll 19/108, S. 13437D-13457D;28.06.2019;Lorenz Gösta Beutin;Dr. Klaus-Peter Schulze;19/108;Gesetz zur Beendigung des Betriebs von Kohlekraftwerken zur Stromerzeugung (Kohlekraftwerk-Sofortmaßnahme-Gesetz)
2019;BT-Plenarprotokoll 19/128, S. 16037B-16066A;15.11.2019;Jörg Cezanne;Johannes Steiniger;19/128;Klimapaket neu auflegen - Verkehrswende für eine klimafreundliche Mobilität einleiten
2020;BT-Plenarprotokoll 19/149, S. 18596B-18612B;05.03.2020;Lorenz Gösta Beutin;Dr. Andreas Lenz;19/149;Gesetz zur Änderung des Erneuerbare-Energien-Gesetzes
2020;BT-Plenarprotokoll 19/149, S. 18656D-18664B;05.03.2020;Eva-Maria Schreiber;Stefan Rouenhoff;19/149;Gesetz zur Durchführung der Verordnung (EU) 2017/821 des Europäischen Parlaments und des Rates vom 17. Mai 2017 zur Festlegung von Pflichten zur Erfüllung der Sorgfaltspflichten in der Lieferkette für Unionseinführer von Zinn, Tantal, Wolfram, deren Erzen und Gold aus Konflikt- und Hochrisikogebieten sowie zur Änderung des Bundesberggesetzes
2020;BT-Plenarprotokoll 19/189, S. 23845D-23853A;05.11.2020;Lorenz Gösta Beutin;Dr. Andreas Lenz;19/189;Gesetz zur Änderung des Windenergie-auf-See-Gesetzes und anderer Vorschriften
2020;BT-Plenarprotokoll 19/176, S. 22188D-22195D;17.09.2020;Ralph Lenkert;Michael Kießling;19/176;Gesetz zur Umsetzung der Abfallrahmenrichtlinie der Europäischen Union
2020;BT-Plenarprotokoll 19/142, S. 17774B-17784C;29.01.2020;Lorenz Gösta Beutin;Dr. Andreas Lenz;19/142;Gesetz zur Vereinheitlichung des Energieeinsparrechts für Gebäude und zur Änderung weiterer Gesetze
2021;BT-Plenarprotokoll 19/239, S. 31149A-31165B;07.09.2021;Dr. Gesine Lötzsch;Stephan Stracke;19/239;"Gesetz zur Errichtung eines Sondervermögens ""Aufbauhilfe 2021"" und zur vorübergehenden Aussetzung der Insolvenzantragspflicht wegen Starkregenfällen und Hochwassern im Juli 2021 sowie zur Änderung weiterer Gesetze (Aufbauhilfegesetz 2021 - AufbhG 2021)"
2021;BT-Plenarprotokoll 19/233, S. 29936C-29961B;10.06.2021;Dr. Lukas Köhler;Kai Whittaker;19/233;Erstes Gesetz zur Änderung des Bundes-Klimaschutzgesetzes
2021;BT-Plenarprotokoll 19/233, S. 29936C-29961B;10.06.2021;Dr. Dietmar Bartsch;Rüdiger Kruse;19/233;Deutsche Nachhaltigkeitsstrategie - Weiterentwicklung 2021
2021;BT-Plenarprotokoll 19/228, S. 29169C-29187C;07.05.2021;Lorenz Gösta Beutin;Andreas Jung;19/228;Klimaschutz ist jetzt
2021;BT-Plenarprotokoll 19/227, S. 28995C-29003A;06.05.2021;Ralph Lenkert;Michael Kießling;19/227;Gesetz zur Umsetzung von Vorgaben der Einwegkunststoffrichtlinie und der Abfallrahmenrichtlinie im Verpackungsgesetz und in anderen Gesetzen
2022;BT-Plenarprotokoll 20/67, S. 7848D-7857C;11.11.2022;Ralph Lenkert;Anne König;20/67;Gesetz zur Beschleunigung des Braunkohleausstiegs im Rheinischen Revier
2022;BT-Plenarprotokoll 20/45, S. 4682B-4692A;24.06.2022;Ralph Lenkert;Klaus Mack;20/45;Gesetz zur Erhöhung und Beschleunigung des Ausbaus von Windenergieanlagen an Land
2022;BT-Plenarprotokoll 20/34, S. 3043B-3061D;12.05.2022;Klaus Ernst;Andreas Jung;20/34;Gesetz zu Sofortmaßnahmen für einen beschleunigten Ausbau der erneuerbaren Energien und weiteren Maßnahmen im Stromsektor
2022;BT-Plenarprotokoll 20/56, S. 6168A-6175C;28.09.2022;Dr. Gesine Lötzsch;Dr. Thomas Gebhart;20/56;Zweites Gesetz zur Änderung des Brennstoffemissionshandelsgesetzes
2022;BT-Plenarprotokoll 20/65, S. 7366D-7376D;09.11.2022;Ralph Lenkert;Dr. Klaus Wiener;20/65;Neunzehntes Gesetz zur Änderung des Atomgesetzes (19. AtGÄndG)
2023;BT-Plenarprotokoll 20/131, S. 16519C-16522C;19.10.2023;Ralph Lenkert;Max Straubinger;20/131;Zweites Gesetz zur Änderung des Düngegesetzes
2023;BT-Plenarprotokoll 20/125, S. 15664A-15671A;28.09.2023;Ralph Lenkert;Alexander Engelhard;20/125;Viertes Gesetz zur Änderung des Chemikaliengesetzes
2023;BT-Plenarprotokoll 20/138, S. 17531C-17545A;17.11.2023;Ralph Lenkert;Michael Kießling;20/138;Gesetz für die Wärmeplanung und zur Dekarbonisierung der Wärmenetze
2023;BT-Plenarprotokoll 20/122, S. 15117C-15126A;21.09.2023;Ralph Lenkert;Sebastian Brehm;20/122;Gesetz zur Steigerung der Energieeffizienz und zur Änderung des Energiedienstleistungsgesetzes
2023;BT-Plenarprotokoll 20/94, S. 11349D-11356A;30.03.2023;Ralph Lenkert;Oliver Grundmann;20/94;Gesetz zu der Entschließung LP.3(4) vom 30. Oktober 2009 über die Änderung des Artikels 6 des Protokolls vom 7. November 1996 zum Übereinkommen über die Verhütung der Meeresverschmutzung durch das Einbringen von Abfällen und sonstigen Stoffen von 1972
;;;;;;
;;;;;;
