Jahr;Dokument;Datum;Linke;CDU/CSU;Dokumentnr;Titel
2015;Plenarprotokoll 18/133;05.11.2015;Inge Höger;Dr. Egon Jüttner;18/133;Kein Frieden und Deutscher Bundestag – 18. Wahlperiode – 133. Sitzung. Berlin, Donnerstag, den 5. November 2015 V keine Stabilität ohne Menschenrechte und Rechtsstaatlichkeit – Für eine weitsichtige europäische Nachbarschaftspolitik gegenüber den Staaten Nordafrika
2015;Plenarprotokoll 18/133;05.11.2015;Ralph Lenkert;Cemile Giousouf, Dr. Claudia Lücking-Michel;18/133;Vielfalt stärkt Wissenschaft – Studienchancen für Flüchtlinge schaffen
2015;Plenarprotokoll 18/136;12.11.2015;Sabine Zimmermann, Sevim Dagdelen;Karl Schiewerling, Dr. Matthias Zimmer, Jutte Eckenbach, Dr. Astrid Freudenstein, Andrea Lindholz;18/136;Flüchtlinge auf dem Weg in Arbeit unterstützen, Integration befördern und Lohndumping bekämpfen
2015;Plenarprotokoll 18/136;12.11.2015;Norbert Müller;Nina Warken, Gudrun Zollner;18/136;Besonders gefährdete Flüchtlinge in Erstaufnahmeeinrichtungen und Gemeinschaftsunterkünften besser schützen
2016;Plenarprotokoll 18/158;25.02.2016;Jan Korte, Heike Hänsel, Kathrin Vogler, Ulla Jelpke;Nina Warken, Nina Warken, Andrea Lindholz, Jutta Eckenbach;18/158;Gesetzes zur Einführung beschleunigter Asylverfahren
2016;Plenarprotokoll 18/167;28.04.2016;Heike Hänsel, Ulla Jelpke;Thorsten Frei, Andrea Lindholz, Dr. Christoph Bergner;18/167;Flüchtlingsschutz und faire Verantwortungsteilung in einer geeinten Europäischen Union
2016;Plenarprotokoll 18/167;28.04.2016;Norbert Müller;Ingrid Pahlmann, Martin Patzelt;18/167;Heute für morgen helfen – Engagement für Geflüchtete stärken
2018;Plenarprotokoll 19/7;18.01.2018;Ulla Jelpke;Marian Wendt, Andrea Lindholz;19/7;Gesetzes zur Änderung des Aufenthaltsgesetzes
2018;Plenarprotokoll 19/7;18.01.2018;Petra Pau;Volker Kauder, Alexander Dobrindt;19/7;Antisemitismus entschlossen bekämpfen
2018;Plenarprotokoll 19/41;27.06.2018;Michael Brandt, Katja Kipping;Thorsten Frei, JOsef Oster, Philipp Amthor, Michaell Kuffer;19/41;Seenotrettung im Mittelmeer durchsetzen
2018;;01.02.2018;Dr. Dietmar Bartsch, Ulla Jelpke;Andrea Lindholz, Stephan Mayer, Dr. Stephan Harbarth;19.11;Gesetz zur Verlängerung der Aussetzung des Familiennachzugs zu subsidiär Schutzberechtigten
2019;Plenarprotokoll 19/119;18.10.2019;Gökay Akbulut;Alexander Throm, Michael Kuffer, Detlef Seif;19/119;Gesetzes zur Änderung des Aufenthaltsgesetzes (Aufenthaltsänderungsgesetz – AufenthÄndG)
2019;Plenarprotokoll 19/98;09.05.2019;Susanne Ferschl, Gökay Akbulut;Thorsten Frei, Peter Weiß, Dr. Mathias Middelberg;19/98;"Fachkräfteeinwanderungsgesetzes, Gesetzes
zur Einführung eines Einwanderungsgesetzes, Für einen konsequenten Ansatz in der Einwanderungspolitik – Eckpunkte eines umfassenden Einwanderungsgesetzbuches etc."
2019;Plenarprotokoll 19/98;09.05.2019;Ulla Jelpke;Alexander Throm, Nina Warken;19/98;Gesetzes zur Entfristung des Integrationsgesetzes
2019;;14.02.2019;Ulla Jelpke;Alexander Throm, Marian Wendt, Michael Kuffer, Detlef Seif;19/80;Die Werkstattgespräche der CDU und die Konsequenzen für die Asylpolitik der Bundesregierung
2020;Plenarprotokoll 19/174;11.09.2020;Dr. Dietmar Bartsch, Michel Brandt;Thorsten Frei, Elisabeth Motschmann, Michael Kuffer;19/174;Konsequenzen aus dem Brand in Moria ziehen – Lager auf den griechischen Inseln auflösen und Geflüchtete in Deutschland aufnehmen
2020;Plenarprotokoll 19/146;13.02.2020;Gökay Akbulut;Nina Warken;19/146;Bericht der Beauftragten der Bundesregierung für Migration, Flüchtlinge und Integration – VI Deutscher Bundestag – 19. Wahlperiode – 146. Sitzung. Berlin, Donnerstag, den 13. Februar 2020 Deutschland kann Integration: Potenziale fördern, Integration fordern, Zusammenhalt stärken
2020;;22.04.2020;Michel Brandt;Thorsten Frei, Dr. Volker Ullrich;19/155;Für einen solidarischen und menschenrechtsbasierten Neuanfang in der Europäischen Flüchtlingspolitik
2020;;04.03.2020;Ulla Jelpke;Josef Oster, Detlef Seif, Alexander Throm;19/148;Besonders Schutzbedürftige aus dem Mittelmeerraum aufnehmen und kommunale Aufnahme ermöglichen
2021;Plenarprotokoll 19/217;24.03.2021;Ulla Jelpke;Thorsten Frei, Detlef Seif, Michael Kuffer;19/217;Menschenwürdige Unterbringung an den europäischen Außengrenzen und faire Asylverfahren sicherstellen
2021;Plenarprotokoll 19/233;10.06.2021;Ulla Jelpke;Christoph de Vries, Marian Wendt, Chritsoph Bernstiel;19/233;Integrationsprobleme durch kulturelle Prägungen wahrnehmen – Neues Forschungsfeld beim Forschungszentrum des Bundesamtes für Migration und Flüchtlinge einrichten
2021;;11.11.2021;Gökay Akbulut;Andrea Lindholz, Dr. Johann David Wadephul, Thorsten Frei, Eckhard Gnodtke;20.2;Migration ordnen, steuern und begrenzen - Neue Pullfaktoren verhindern - Lukaschenko stoppen
2021;;23.06.2021;Ulla Jelpke;Eckhard Gnodtke, Josef Oster, Thorsten Frei;19/235;Verantwortung anerkennen - Gruppenverfahren zur Aufnahme afghanischer Ortskräfte einführen
2021;;18.11.2021;Zaklin Nastic;Thomas Erndl, Dr. Katja Leikert, Dr. Mathias Middelberg;20.3;Massenmigration über Polen mit grenzpolizeilichen Maßnahmen rechtzeitig verhindern und nachhaltige Abwehrmaßnahmen sicherstellen
